x,y,z
-0.006015,-0.000293,0.001764
0.11973,0.013878,0.069061
0.235294,0.040237,0.073747
0.358263,0.08654,0.076021
0.479671,0.148024,0.071425
0.592268,0.223156,0.073169
0.678003,0.288767,0.077254
0.766523,0.361745,0.081372
0.853234,0.439421,0.084489
0.921236,0.521405,0.086993
1.000336,0.626836,0.091285
1.028388,0.732222,0.08687
1.064215,0.833592,0.090083
1.112284,0.930109,0.089763
1.163576,1.038462,0.085756
1.212037,1.14822,0.083743
1.262385,1.259433,0.084141
1.314207,1.37605,0.083552
1.368417,1.497607,0.082591
1.424915,1.618804,0.084254
1.505376,1.711969,0.090222
1.608992,1.778694,0.085123
1.709876,1.806609,0.085068
1.830205,1.847179,0.082055
1.957347,1.908769,0.086996
2.06234,1.959973,0.090842
2.177266,2.004526,0.090882
2.290023,2.032181,0.083818
2.391434,2.058755,0.080691
2.534597,2.063042,0.085275
2.674318,2.066102,0.078214
2.775325,2.07393,0.079148
2.893338,2.08273,0.084212
3.02603,2.093774,0.087088
3.16656,2.102319,0.088049
3.30945,2.113153,0.088233
3.447617,2.122851,0.093806
3.58385,2.133738,0.091341
3.715616,2.142191,0.089204
3.844787,2.152116,0.089744
3.971576,2.162042,0.091255
4.095188,2.172571,0.090955
4.217009,2.182542,0.091639
4.335843,2.191688,0.09156
4.451402,2.200952,0.09371
4.562447,2.208223,0.093948
4.671837,2.217048,0.094963
4.778831,2.224701,0.096016
4.882624,2.230754,0.098416
4.983372,2.230279,0.100248
5.126739,2.223734,0.098758
5.261043,2.211643,0.095387
5.401166,2.204906,0.093717
5.503321,2.19553,0.094353
5.611552,2.191132,0.095767
5.724048,2.184786,0.09697
5.839803,2.186284,0.09714
5.952267,2.184686,0.098502
6.060432,2.185501,0.098783
6.164039,2.183409,0.098434
6.265606,2.181553,0.099357
6.366806,2.180114,0.099871
6.469872,2.179322,0.099445
6.576126,2.179177,0.100498
6.684637,2.182046,0.101799
6.795228,2.183358,0.102487
6.909105,2.187223,0.103869
7.026671,2.194315,0.104131
